,alcohol,label
0,13.16,red
1,14.06,red
2,13.63,red
3,13.83,red
4,12.85,red
5,13.87,red
6,13.68,red
7,13.51,red
8,13.05,red
9,14.38,red
10,13.05,red
11,13.56,red
12,12.37,sparkling
13,13.34,sparkling
14,13.49,sparkling
15,11.96,sparkling
16,11.66,sparkling
17,11.84,sparkling
18,11.64,sparkling
19,12.08,sparkling
20,12.29,sparkling
21,12.47,sparkling
22,12.29,sparkling
23,12.08,sparkling
24,12.6,sparkling
25,12.34,sparkling
26,12.51,sparkling
27,11.82,sparkling
28,12.77,sparkling
29,12.51,white
30,12.6,white
31,12.25,white
32,12.93,white
33,12.25,white
34,13.23,white
35,12.58,white
36,14.34,white
37,13.78,white
38,13.27,white
39,13.17,white
40,14.13,white
41,13.75,red
42,13.64,red
43,14.02,red
44,13.48,red
45,13.77,red
46,13.74,red
47,13.72,red
48,12.0,sparkling
49,11.62,sparkling
50,12.42,sparkling
51,11.45,sparkling
52,12.43,sparkling
53,11.79,sparkling
54,12.87,white
55,12.79,white
56,13.48,white
57,13.69,white
